state_code,state_name_english,state_name_local,state_census2011_code,state_or_ut,last_updated
12,Arunachal Pradesh,ARUNACHAL PRADESH                                 ,12,S,07-10-2024
2,Himachal Pradesh,HIMACHAL PRADESH                                  ,2,S,07-10-2024
23,Madhya Pradesh,MADHYA PRADESH                                    ,23,S,07-10-2024
27,Maharashtra,महाराष्ट्र,27,S,07-10-2024
34,Puducherry,PUDUCHERRY,34,U,07-10-2024
9,Uttar Pradesh,UTTAR PRADESH                                     ,9,S,07-10-2024
22,Chhattisgarh,छत्तीसगढ़,22,S,07-10-2024
20,Jharkhand,झारखंड,20,S,07-10-2024
17,Meghalaya,MEGHALAYA                                         ,17,S,07-10-2024
3,Punjab,PUNJAB                                            ,3,S,07-10-2024
16,Tripura,ত্রিপুরা,16,S,07-10-2024
10,Bihar,BIHAR                                             ,10,S,07-10-2024
7,Delhi,DELHI                                             ,7,U,07-10-2024
32,Kerala,KERALA                                            ,32,S,07-10-2024
11,Sikkim,SIKKIM                                            ,11,S,07-10-2024
38,The Dadra And Nagar Haveli And Daman And Diu,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU,NA,U,07-10-2024
5,Uttarakhand,UTTARAKHAND,5,S,07-10-2024
35,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS                       ,35,U,07-10-2024
28,Andhra Pradesh,ANDHRA PRADESH                                    ,28,S,07-10-2024
18,Assam,ASSAM                                             ,18,S,07-10-2024
4,Chandigarh,CHANDIGARH                                        ,4,U,07-10-2024
6,Haryana,HARYANA                                           ,6,S,07-10-2024
1,Jammu And Kashmir,JAMMU AND KASHMIR,1,U,07-10-2024
37,Ladakh,Ladakh,0,U,07-10-2024
15,Mizoram,MIZORAM                                           ,15,S,07-10-2024
21,Odisha,ODISHA,21,S,07-10-2024
36,Telangana,తెలంగాణ,0,S,07-10-2024
30,Goa,GOA                                               ,30,S,07-10-2024
24,Gujarat,GUJARAT                                           ,24,S,07-10-2024
29,Karnataka,ಕರ್ನಾಟಕ,29,S,07-10-2024
31,Lakshadweep,LAKSHADWEEP                                       ,31,U,07-10-2024
14,Manipur,MANIPUR                                           ,14,S,07-10-2024
13,Nagaland,NAGALAND                                          ,13,S,07-10-2024
8,Rajasthan,RAJASTHAN                                         ,8,S,07-10-2024
33,Tamil Nadu,TAMIL NADU                                        ,33,S,07-10-2024
19,West Bengal,WEST BENGAL                                       ,19,S,07-10-2024
