state_code,state_name_english,state_name_local,state_census2011_code,district_code,district_name_english,district_name_local,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_name_local,subdistrict_census2011_code,last_updated
8,Rajasthan,RAJASTHAN,8.0,783,Jaipur (Gramin),जयपुर (ग्रामीण),,7140,Aandhi,आंधी,0.0,2024-10-07
24,Gujarat,GUJARAT,24.0,449,Kachchh,KACHCHH,468.0,3728,Abdasa,,3728.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,387,Raipur,रायपुर,410.0,3331,Abhanpur,,3331.0,2024-10-07
24,Gujarat,GUJARAT,24.0,459,Surat,SURAT,492.0,6518,Adajan,Adajan,0.0,2024-10-07
21,Odisha,ODISHA,21.0,353,Gajapati,GAJAPATI,389.0,3100,Adava,,3100.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,514,Nalgonda,నల్గొండ,539.0,6304,Adavidevulapalli,అడవిదేవులపల్లి,0.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,697,Yadadri Bhuvanagiri,యదాద్రి భువనగిరి,0.0,6310,Adda Guduru,అడ్డగూడూరు,0.0,2024-10-07
23,Madhya Pradesh,MADHYA PRADESH,23.0,411,Jabalpur,जबलपुर,451.0,7024,Adhartal,आधारताल,0.0,2024-10-07
20,Jharkhand,झारखंड,20.0,341,Saraikela Kharsawan,सरायकेला खरसावां,369.0,2752,Adityapur(Gamharia),,2752.0,2024-10-07
28,Andhra Pradesh,ANDHRA PRADESH,28.0,511,Kurnool,KURNOOL,552.0,5271,Adoni,,5271.0,2024-10-07
18,Assam,ASSAM,18.0,285,Dhubri,DHUBURI,301.0,2006,Agamoni,,2006.0,2024-10-07
21,Odisha,ODISHA,21.0,348,Bhadrak,BHADRAK,378.0,2910,Agarpada,,2910.0,2024-10-07
24,Gujarat,GUJARAT,24.0,444,Dangs,DANGS,489.0,3921,Ahwa,,3921.0,2024-10-07
22,Chhattisgarh,छत्तीसगढ़,22.0,379,Janjgir-Champa,जांजगीर - चाम्पा,405.0,3278,Akaltara,,3278.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,121,Ambedkar Nagar,AMBEDKAR NAGAR,178.0,910,Akbarpur,,910.0,2024-10-07
1,Jammu And Kashmir,JAMMU AND KASHMIR,1.0,5,Jammu,JAMMU,21.0,78,Akhnoor,,78.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,467,Akola,अकोला,501.0,3991,Akola,अकोला,3991.0,2024-10-07
13,Nagaland,NAGALAND,13.0,251,Zunheboto,ZUNHEBOTO,263.0,1768,Akuluto,,1768.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,568,Chennai,CHENNAI,603.0,5704,Alandur,,5704.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,581,Perambalur,PERAMBALUR,615.0,5951,Alathur,,0.0,2024-10-07
9,Uttar Pradesh,UTTAR PRADESH,9.0,120,Prayagraj,PRAYAGRAJ,175.0,890,Allahabad,,890.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,87,Alwar,ALWAR,104.0,499,Alwar,,499.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,478,Jalgaon,जळगाव,499.0,3969,Amalner,अमळनेर,3969.0,2024-10-07
36,Telangana,తెలంగాణ,0.0,518,Ranga Reddy,రంగా రెడ్డి,537.0,4563,Amangal,అమంగల్,4563.0,2024-10-07
10,Bihar,BIHAR,10.0,190,Banka,बांका,225.0,1346,Amarpur,अमरपुर,1346.0,2024-10-07
21,Odisha,ODISHA,21.0,370,Rayagada,RAYAGADA,396.0,3172,Ambadala,,3172.0,2024-10-07
16,Tripura,ত্রিপুরা,16.0,269,Dhalai,ধলাই,291.0,6697,Ambassa,আমবাসা,0.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,568,Chennai,CHENNAI,603.0,5700,Ambattur,,5700.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,490,Pune,पुणे,521.0,4188,Ambegaon,आंबेगाव,4188.0,2024-10-07
27,Maharashtra,महाराष्ट्र,27.0,470,Beed,बीड,523.0,4225,Ambejogai,आंबेजोगाई,4225.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,732,Tirupathur,திருப்பத்தூர்,0.0,5719,Ambur,,5719.0,2024-10-07
10,Bihar,BIHAR,10.0,201,Katihar,कटिहार,212.0,1157,Amdabad,अमदाबाद,1157.0,2024-10-07
8,Rajasthan,RAJASTHAN,8.0,112,Rajsamand,RAJSAMAND,123.0,641,Amet,,641.0,2024-10-07
33,Tamil Nadu,TAMIL NADU,33.0,568,Chennai,CHENNAI,603.0,7161,Aminjikarai,அமைந்தகரை,0.0,2024-10-07
